S2801_C01_001E,S2801_C01_005E,S2801_C01_006E,FIPS,STATEFP,COUNTYFP,TRACTCE
1524,1016,323,48029130500,48,029,130500
1328,942,389,48029130600,48,029,130600
906,697,163,48029130700,48,029,130700
1877,1501,296,48029130800,48,029,130800
1610,1315,410,48029130900,48,029,130900
1797,1283,334,48029131000,48,029,131000
746,563,198,48029131100,48,029,131100
1137,730,206,48029131200,48,029,131200
2098,1244,210,48029131300,48,029,131300
2917,2696,239,48029131401,48,029,131401
902,682,103,48029131402,48,029,131402
1174,912,121,48029131503,48,029,131503
1403,1189,225,48029131504,48,029,131504
1404,1273,76,48029131505,48,029,131505
1123,1022,187,48029131506,48,029,131506
1750,1461,181,48029131507,48,029,131507
1514,1398,16,48029131601,48,029,131601
1748,1649,80,48029131606,48,029,131606
1858,1639,99,48029131608,48,029,131608
2014,1823,206,48029131609,48,029,131609
1381,1270,55,48029131610,48,029,131610
327,298,12,48029131611,48,029,131611
595,547,21,48029131612,48,029,131612
1325,1216,148,48029131613,48,029,131613
1107,1011,104,48029131614,48,029,131614
2382,2152,277,48029131615,48,029,131615
264,252,0,48029131700,48,029,131700
702,580,57,48029131801,48,029,131801
1390,1067,138,48029131802,48,029,131802
483,384,119,48029140100,48,029,140100
971,716,212,48029140200,48,029,140200
1031,766,263,48029140300,48,029,140300
1245,913,131,48029140400,48,029,140400
1323,993,233,48029140500,48,029,140500
828,583,131,48029140600,48,029,140600
1886,1332,309,48029140700,48,029,140700
1656,1299,236,48029140800,48,029,140800
656,440,118,48029140900,48,029,140900
1313,866,341,48029141000,48,029,141000
1371,1030,323,48029141101,48,029,141101
1178,843,293,48029141102,48,029,141102
2427,1952,614,48029141200,48,029,141200
2171,1762,386,48029141300,48,029,141300
1687,1512,158,48029141402,48,029,141402
1667,1337,296,48029141403,48,029,141403
1805,1342,337,48029141404,48,029,141404
1319,1182,162,48029141600,48,029,141600
1495,1141,207,48029141700,48,029,141700
1116,893,166,48029141800,48,029,141800
1505,1331,242,48029141900,48,029,141900
1940,1590,398,48029150100,48,029,150100
1240,987,306,48029150300,48,029,150300
1274,935,197,48029150400,48,029,150400
1253,716,208,48029150501,48,029,150501
1053,661,187,48029150502,48,029,150502
1421,1134,392,48029150600,48,029,150600
2082,1344,348,48029150700,48,029,150700
1037,819,346,48029150800,48,029,150800
2032,1458,352,48029150900,48,029,150900
1017,711,204,48029151000,48,029,151000
2172,1582,460,48029151100,48,029,151100
3083,2622,299,48029151200,48,029,151200
1709,1365,258,48029151301,48,029,151301
971,714,134,48029151302,48,029,151302
1346,960,305,48029151400,48,029,151400
855,634,191,48029151500,48,029,151500
2513,1833,518,48029151600,48,029,151600
2055,1627,251,48029151700,48,029,151700
2095,1626,305,48029151900,48,029,151900
791,697,148,48029152000,48,029,152000
1295,1126,298,48029152100,48,029,152100
1878,1477,284,48029152201,48,029,152201
1418,1193,203,48029152202,48,029,152202
1897,1329,365,48029160100,48,029,160100
941,677,201,48029160200,48,029,160200
1734,1154,367,48029160300,48,029,160300
1497,1033,293,48029160400,48,029,160400
1142,844,230,48029160501,48,029,160501
1238,833,167,48029160502,48,029,160502
1407,897,274,48029160600,48,029,160600
1039,677,233,48029160701,48,029,160701
1897,1258,383,48029160702,48,029,160702
798,527,125,48029160901,48,029,160901
1247,1072,202,48029160902,48,029,160902
1111,771,220,48029161000,48,029,161000
2584,2065,300,48029161100,48,029,161100
764,643,158,48029161200,48,029,161200
1462,1270,262,48029161302,48,029,161302
1067,818,208,48029161303,48,029,161303
991,830,186,48029161304,48,029,161304
413,393,4,48029161400,48,029,161400
2702,2093,437,48029161501,48,029,161501
1320,1088,290,48029161503,48,029,161503
1163,874,222,48029161504,48,029,161504
1217,925,127,48029161600,48,029,161600
1233,1007,146,48029161801,48,029,161801
2450,2024,413,48029161802,48,029,161802
276,174,45,48029161901,48,029,161901
2500,1992,286,48029161902,48,029,161902
526,415,107,48029162001,48,029,162001
1260,1068,368,48029162003,48,029,162003
903,656,172,48029162004,48,029,162004
1031,731,213,48029170101,48,029,170101
1195,847,286,48029170102,48,029,170102
1622,971,256,48029170200,48,029,170200
1727,1041,313,48029170300,48,029,170300
1147,925,285,48029170401,48,029,170401
1471,1076,343,48029170402,48,029,170402
1453,1008,263,48029170500,48,029,170500
1378,1030,219,48029170600,48,029,170600
1332,959,427,48029170700,48,029,170700
467,348,114,48029170800,48,029,170800
1252,851,270,48029170900,48,029,170900
1693,1148,518,48029171000,48,029,171000
1132,753,198,48029171100,48,029,171100
1140,776,334,48029171200,48,029,171200
832,620,145,48029171301,48,029,171301
1111,694,153,48029171302,48,029,171302
1223,951,222,48029171401,48,029,171401
1645,1193,268,48029171402,48,029,171402
777,532,152,48029171501,48,029,171501
1479,959,392,48029171502,48,029,171502
1314,1130,363,48029171601,48,029,171601
1083,739,148,48029171602,48,029,171602
2593,2010,283,48029171700,48,029,171700
1750,1222,256,48029171801,48,029,171801
2050,1623,607,48029171802,48,029,171802
4995,4771,494,48029171902,48,029,171902
2218,1568,406,48029171903,48,029,171903
2330,2226,98,48029171912,48,029,171912
1740,1549,139,48029171913,48,029,171913
1659,1507,95,48029171914,48,029,171914
671,541,42,48029171915,48,029,171915
2439,2148,56,48029171916,48,029,171916
2729,2551,55,48029171917,48,029,171917
2267,2130,220,48029171918,48,029,171918
1368,1291,73,48029171919,48,029,171919
2415,2098,149,48029171920,48,029,171920
1374,1236,121,48029171921,48,029,171921
918,836,0,48029171922,48,029,171922
3690,3224,291,48029171923,48,029,171923
2934,2754,138,48029171924,48,029,171924
3182,2835,64,48029171925,48,029,171925
5090,4636,132,48029172002,48,029,172002
1423,1335,31,48029172003,48,029,172003
2352,2192,5,48029172004,48,029,172004
2711,2507,92,48029172005,48,029,172005
2490,2349,71,48029172006,48,029,172006
3029,2886,90,48029172007,48,029,172007
1872,1452,165,48029180101,48,029,180101
674,524,46,48029180102,48,029,180102
1860,1331,490,48029180201,48,029,180201
2344,1609,443,48029180202,48,029,180202
1483,1076,337,48029180300,48,029,180300
1455,1035,256,48029180400,48,029,180400
1841,1256,253,48029180501,48,029,180501
1384,1053,141,48029180503,48,029,180503
1266,854,283,48029180504,48,029,180504
1392,852,194,48029180602,48,029,180602
666,497,69,48029180603,48,029,180603
2345,1900,372,48029180604,48,029,180604
1947,1386,182,48029180701,48,029,180701
2898,1801,328,48029180702,48,029,180702
1373,1003,390,48029180800,48,029,180800
1969,1562,164,48029180901,48,029,180901
2539,1897,381,48029180902,48,029,180902
1124,841,65,48029181001,48,029,181001
2695,1892,179,48029181003,48,029,181003
2576,1932,181,48029181004,48,029,181004
1838,1018,257,48029181005,48,029,181005
2454,2009,53,48029181100,48,029,181100
2033,1668,38,48029181200,48,029,181200
1865,1650,43,48029181301,48,029,181301
3162,2844,386,48029181302,48,029,181302
1335,1137,188,48029181303,48,029,181303
1206,797,49,48029181402,48,029,181402
2728,2033,182,48029181403,48,029,181403
2684,2237,103,48029181404,48,029,181404
3487,2761,82,48029181503,48,029,181503
3215,2571,309,48029181504,48,029,181504
1635,1223,67,48029181505,48,029,181505
1727,1285,201,48029181506,48,029,181506
1130,961,98,48029181601,48,029,181601
1909,1478,347,48029181602,48,029,181602
2702,2297,77,48029181703,48,029,181703
1848,1630,141,48029181704,48,029,181704
2361,2009,188,48029181705,48,029,181705
2766,2468,61,48029181711,48,029,181711
1324,1229,63,48029181712,48,029,181712
2608,2256,216,48029181713,48,029,181713
2000,1813,187,48029181715,48,029,181715
2538,2255,127,48029181716,48,029,181716
1998,1761,110,48029181718,48,029,181718
1446,1324,0,48029181720,48,029,181720
1091,1005,22,48029181721,48,029,181721
1491,1381,86,48029181722,48,029,181722
1472,1305,19,48029181723,48,029,181723
1476,1440,54,48029181724,48,029,181724
2137,1831,353,48029181725,48,029,181725
2740,2551,31,48029181726,48,029,181726
1204,1058,7,48029181727,48,029,181727
3123,2779,271,48029181728,48,029,181728
2409,2338,5,48029181729,48,029,181729
1437,1314,114,48029181730,48,029,181730
2477,2280,243,48029181731,48,029,181731
664,617,44,48029181808,48,029,181808
2372,2144,281,48029181809,48,029,181809
1485,1319,48,48029181811,48,029,181811
3318,2972,320,48029181813,48,029,181813
3348,3031,56,48029181814,48,029,181814
1317,1226,30,48029181815,48,029,181815
1493,1314,11,48029181816,48,029,181816
1411,1096,72,48029181817,48,029,181817
2372,2128,275,48029181818,48,029,181818
2459,2333,114,48029181819,48,029,181819
1592,1564,67,48029181820,48,029,181820
1263,1116,46,48029181821,48,029,181821
1899,1726,135,48029181822,48,029,181822
1057,1014,9,48029181823,48,029,181823
1136,1051,35,48029181824,48,029,181824
1921,1791,80,48029181825,48,029,181825
2269,2078,86,48029181826,48,029,181826
2348,2191,117,48029181901,48,029,181901
2723,2584,20,48029181902,48,029,181902
1793,1719,13,48029182001,48,029,182001
2925,2726,2,48029182002,48,029,182002
1503,1356,20,48029182003,48,029,182003
4155,3611,10,48029182101,48,029,182101
2607,2488,42,48029182102,48,029,182102
1147,1069,35,48029182103,48,029,182103
1602,1542,4,48029182105,48,029,182105
2196,2000,21,48029182106,48,029,182106
1370,874,192,48029190100,48,029,190100
1985,1620,237,48029190200,48,029,190200
1120,999,34,48029190400,48,029,190400
981,773,210,48029190501,48,029,190501
1438,1184,192,48029190503,48,029,190503
1020,839,301,48029190504,48,029,190504
1172,911,248,48029190601,48,029,190601
902,721,163,48029190603,48,029,190603
1252,1005,399,48029190604,48,029,190604
1355,1001,78,48029190700,48,029,190700
687,621,35,48029190800,48,029,190800
2153,1564,319,48029190901,48,029,190901
1477,1210,64,48029190902,48,029,190902
2983,2440,609,48029191003,48,029,191003
1374,1004,357,48029191004,48,029,191004
680,473,90,48029191005,48,029,191005
1978,1282,455,48029191006,48,029,191006
715,619,0,48029191101,48,029,191101
937,777,87,48029191102,48,029,191102
1166,910,24,48029191201,48,029,191201
2187,1720,315,48029191202,48,029,191202
794,743,52,48029191303,48,029,191303
1057,842,166,48029191304,48,029,191304
3526,3044,146,48029191405,48,029,191405
2645,2428,71,48029191406,48,029,191406
1333,1170,124,48029191408,48,029,191408
3067,2637,619,48029191409,48,029,191409
2635,2308,286,48029191410,48,029,191410
2028,1782,59,48029191411,48,029,191411
790,743,8,48029191412,48,029,191412
2497,2303,39,48029191413,48,029,191413
2178,2018,120,48029191503,48,029,191503
944,868,15,48029191504,48,029,191504
839,777,11,48029191505,48,029,191505
2704,2340,171,48029191506,48,029,191506
512,409,6,48029191701,48,029,191701
3010,2353,40,48029191702,48,029,191702
2333,2153,38,48029191804,48,029,191804
3051,2786,73,48029191806,48,029,191806
3630,3349,70,48029191807,48,029,191807
1496,1440,16,48029191808,48,029,191808
2278,2150,31,48029191809,48,029,191809
1434,1338,25,48029191810,48,029,191810
1440,1373,7,48029191811,48,029,191811
1242,1188,0,48029191812,48,029,191812
2368,2123,21,48029191813,48,029,191813
1375,1255,15,48029191814,48,029,191814
1732,1640,20,48029191815,48,029,191815
1525,1301,159,48029191816,48,029,191816
4862,4255,167,48029191817,48,029,191817
1652,1141,268,48029191900,48,029,191900
2148,1832,156,48029192000,48,029,192000
1299,1118,87,48029192100,48,029,192100
1128,992,109,48029192200,48,029,192200
2466,2217,75,48029192300,48,029,192300
0,0,0,48029980001,48,029,980001
0,0,0,48029980002,48,029,980002
182,171,0,48029980003,48,029,980003
0,0,0,48029980004,48,029,980004
0,0,0,48029980005,48,029,980005
84,82,24,48029980100,48,029,980100
2169,1856,187,48031950100,48,031,950100
2174,1718,217,48031950200,48,031,950200
227,190,14,48033950100,48,033,950100
1630,1209,249,48035950100,48,035,950100
568,420,66,48035950200,48,035,950200
666,492,35,48035950300,48,035,950300
1519,1215,143,48035950400,48,035,950400
1152,885,73,48035950500,48,035,950500
728,547,113,48035950600,48,035,950600
948,702,104,48035950700,48,035,950700
1919,1397,219,48037010100,48,037,010100
1541,837,240,48037010400,48,037,010400
811,308,72,48037010500,48,037,010500
674,415,145,48037010600,48,037,010600
2149,1488,213,48037010700,48,037,010700
1883,1222,362,48037010800,48,037,010800
2722,2405,266,48037010901,48,037,010901
3165,2373,97,48037010902,48,037,010902
2879,2194,194,48037011000,48,037,011000
2289,1628,408,48037011100,48,037,011100
2218,1833,54,48037011200,48,037,011200
2059,1376,201,48037011300,48,037,011300
2890,2139,238,48037011401,48,037,011401
806,566,28,48037011402,48,037,011402
1856,1370,184,48037011501,48,037,011501
1254,670,218,48037011502,48,037,011502
2002,1304,230,48037011600,48,037,011600
959,690,57,48037011700,48,037,011700
1733,1583,0,48039660100,48,039,660100
2129,1939,88,48039660200,48,039,660200
4002,3541,117,48039660300,48,039,660300
3988,3553,86,48039660400,48,039,660400
3478,3165,250,48039660500,48,039,660500
4704,4105,33,48039660601,48,039,660601
15682,14494,786,48039660602,48,039,660602
5633,5125,82,48039660701,48,039,660701
5321,4974,262,48039660702,48,039,660702
3260,2992,262,48039660801,48,039,660801
2459,2284,90,48039660802,48,039,660802
2215,1818,383,48039660900,48,039,660900
2445,2156,171,48039661000,48,039,661000
1263,1107,171,48039661100,48,039,661100
1576,1371,214,48039661200,48,039,661200
845,629,121,48039661300,48,039,661300
2461,1878,177,48039661400,48,039,661400
1682,1307,197,48039661501,48,039,661501
1500,1279,134,48039661502,48,039,661502
2442,2071,280,48039661601,48,039,661601
994,925,160,48039661602,48,039,661602
1056,872,154,48039661700,48,039,661700
2153,1862,266,48039661800,48,039,661800
2829,2528,248,48039661900,48,039,661900
2193,1709,157,48039662000,48,039,662000
1940,1433,119,48039662100,48,039,662100
2437,2141,167,48039662200,48,039,662200
1907,1624,391,48039662300,48,039,662300
1988,1525,132,48039662400,48,039,662400
1000,838,108,48039662500,48,039,662500
1165,947,153,48039662600,48,039,662600
839,607,17,48039662700,48,039,662700
2353,1663,294,48039662800,48,039,662800
1710,1373,268,48039662900,48,039,662900
1203,953,59,48039663000,48,039,663000
2095,1833,198,48039663100,48,039,663100
2032,1854,155,48039663200,48,039,663200
769,679,40,48039663300,48,039,663300
3141,2568,161,48039663400,48,039,663400
2161,1718,276,48039663500,48,039,663500
1840,1549,9,48039663600,48,039,663600
1306,1179,188,48039663700,48,039,663700
2444,2077,407,48039663800,48,039,663800
842,636,138,48039663900,48,039,663900
1355,1088,295,48039664000,48,039,664000
2134,1740,325,48039664100,48,039,664100
971,764,162,48039664200,48,039,664200
1756,1412,288,48039664300,48,039,664300
2169,1633,334,48039664400,48,039,664400
1923,1515,351,48039664501,48,039,664501
0,0,0,48039990000,48,039,990000
3414,2924,121,48041000101,48,041,000101
2272,1897,50,48041000102,48,041,000102
618,548,64,48041000103,48,041,000103
2888,2385,339,48041000201,48,041,000201
2414,2063,406,48041000202,48,041,000202
2391,1871,398,48041000300,48,041,000300
1697,1258,242,48041000400,48,041,000400
1716,1217,418,48041000500,48,041,000500
1601,1233,362,48041000603,48,041,000603
1864,1431,436,48041000604,48,041,000604
1128,997,121,48041000700,48,041,000700
2017,1742,206,48041000800,48,041,000800
910,648,125,48041000900,48,041,000900
2953,2598,315,48041001000,48,041,001000
2126,1795,105,48041001100,48,041,001100
1128,1035,12,48041001301,48,041,001301
1975,1773,116,48041001302,48,041,001302
1973,1815,42,48041001303,48,041,001303
970,950,75,48041001400,48,041,001400
1795,1582,149,48041001601,48,041,001601
2469,2266,154,48041001604,48,041,001604
1703,1553,78,48041001605,48,041,001605
1530,1260,22,48041001606,48,041,001606
2855,2740,70,48041001701,48,041,001701
1128,926,84,48041001702,48,041,001702
2382,2261,51,48041001801,48,041,001801
2792,2613,177,48041001803,48,041,001803
538,538,0,48041001804,48,041,001804
2603,1962,15,48041001900,48,041,001900
2106,1988,28,48041002001,48,041,002001
3735,3234,103,48041002002,48,041,002002
668,607,40,48041002006,48,041,002006
2687,2443,0,48041002007,48,041,002007
3507,3369,23,48041002008,48,041,002008
1974,1727,10,48041002009,48,041,002009
1125,1041,31,48041002010,48,041,002010
1707,1540,8,48041002011,48,041,002011
2572,2477,0,48041002012,48,041,002012
2640,2482,11,48041002013,48,041,002013
841,759,57,48041002014,48,041,002014
0,0,0,48041002015,48,041,002015
0,0,0,48041980000,48,041,980000
2086,1631,332,48043950300,48,043,950300
702,510,86,48043950400,48,043,950400
1300,939,103,48043950500,48,043,950500
602,416,82,48045950200,48,045,950200
541,393,164,48047950100,48,047,950100
1579,1112,318,48047950200,48,047,950200
958,698,123,48049950100,48,049,950100
1689,1225,251,48049950200,48,049,950200
1151,897,140,48049950300,48,049,950300
1091,793,160,48049950500,48,049,950500
900,561,110,48049950600,48,049,950600
328,144,47,48049950700,48,049,950700
1087,790,220,48049950800,48,049,950800
1675,1454,121,48049950900,48,049,950900
1038,889,136,48049951000,48,049,951000
1670,1310,298,48049951100,48,049,951100
1743,1340,236,48049951200,48,049,951200
1079,771,46,48049951300,48,049,951300
565,400,14,48051970100,48,051,970100
1618,1167,53,48051970200,48,051,970200
1676,1242,214,48051970300,48,051,970300
1354,1059,171,48051970400,48,051,970400
1597,1187,136,48051970500,48,051,970500
2285,1852,243,48053960100,48,053,960100
1079,908,78,48053960200,48,053,960200
2122,1593,155,48053960300,48,053,960300
2135,1706,244,48053960400,48,053,960400
2053,1700,13,48053960500,48,053,960500
1534,1232,53,48053960600,48,053,960600
3171,2392,368,48053960700,48,053,960700
2364,1992,185,48053960800,48,053,960800
2250,1879,644,48055960101,48,055,960101
1492,1111,222,48055960102,48,055,960102
1395,972,175,48055960200,48,055,960200
1589,1367,182,48055960300,48,055,960300
1311,1035,357,48055960400,48,055,960400
2080,1704,376,48055960500,48,055,960500
1045,745,90,48055960600,48,055,960600
2298,1705,783,48055960700,48,055,960700
1898,1397,114,48057000100,48,057,000100
1475,1077,173,48057000200,48,057,000200
608,510,113,48057000300,48,057,000300
2411,2018,421,48057000400,48,057,000400
1190,868,89,48057000500,48,057,000500
0,0,0,48057990000,48,057,990000
1803,1371,164,48059030101,48,059,030101
1692,1148,133,48059030102,48,059,030102
1872,1182,204,48059030200,48,059,030200
2932,2025,369,48061010100,48,061,010100
684,474,95,48061010201,48,061,010201
2363,1774,370,48061010203,48,061,010203
1464,903,193,48061010301,48,061,010301
2945,2318,234,48061010302,48,061,010302
1877,1315,177,48061010401,48,061,010401
2625,1697,197,48061010402,48,061,010402
689,397,152,48061010500,48,061,010500
2909,1979,481,48061010601,48,061,010601
565,443,105,48061010602,48,061,010602
1036,697,167,48061010700,48,061,010700
2358,1914,420,48061010800,48,061,010800
492,252,86,48061010900,48,061,010900
863,455,137,48061011000,48,061,011000
759,464,116,48061011100,48,061,011100
507,317,78,48061011200,48,061,011200
518,411,60,48061011301,48,061,011301
1437,1153,104,48061011302,48,061,011302
2088,1310,260,48061011400,48,061,011400
1819,1355,285,48061011500,48,061,011500
1867,1353,383,48061011600,48,061,011600
2151,1527,587,48061011700,48,061,011700
2001,1398,302,48061011801,48,061,011801
1009,677,167,48061011802,48,061,011802
1876,1100,289,48061011901,48,061,011901
1647,1085,159,48061011902,48,061,011902
692,376,148,48061011903,48,061,011903
2243,1646,206,48061012001,48,061,012001
1712,1332,180,48061012002,48,061,012002
1513,1211,208,48061012101,48,061,012101
1299,990,189,48061012102,48,061,012102
